Value,Cell,Alignment,Type
0.069853824,231,Aligned,231_AM
0.426007097,231,Aligned,231_AM
0.595641758,231,Aligned,231_AM
0.224025936,231,Aligned,231_AM
0.109906614,231,Aligned,231_AM
0.034939168,231,Aligned,231_AM
0.486517044,231,Aligned,231_AM
0.64105317,231,Aligned,231_AM
0.226878955,231,Aligned,231_AM
0.036534736,231,Aligned,231_AM
0.087800272,231,Aligned,231_AM
0.006092923,231,Aligned,231_AM
0.470468536,231,Aligned,231_AM
0.008277915,231,Aligned,231_AM
0.005815718,231,Aligned,231_AM
0.691662169,231,Aligned,231_AM
0.236046222,231,Aligned,231_AM
0.036012971,231,Aligned,231_AM
0.246062977,231,Aligned,231_AM
0.061377197,231,Aligned,231_AM
0.111940056,231,Aligned,231_AM
0.618336431,231,Aligned,231_AM
0.12870036,231,Aligned,231_AM
0.488556869,231,Aligned,231_AM
0.630811187,231,Aligned,231_AM
0.040336634,231,Aligned,231_AM
0.053829571,231,Aligned,231_AM
0.798934718,231,Aligned,231_AM
0.022002281,231,Aligned,231_AM
0.125301138,231,Aligned,231_AM
0.119374247,231,Aligned,231_AM
0.509911658,231,Aligned,231_AM
0.064433743,231,Aligned,231_AM
0.01197495,231,Aligned,231_AM
0.181605964,231,Aligned,231_AM
0.38914982,231,Aligned,231_AM
0.223814932,231,Aligned,231_AM
0.179530941,231,Aligned,231_AM
0.354399481,231,Aligned,231_AM
0.306537908,231,Aligned,231_AM
0.469225492,231,Aligned,231_AM
0.68883687,231,Aligned,231_AM
0.681000914,231,Aligned,231_AM
0.254670728,231,Aligned,231_AM
0.270574069,231,Aligned,231_AM
0.381758486,231,Aligned,231_AM
0.125555182,231,Aligned,231_AM
0.243269775,231,Aligned,231_AM
0.202110172,231,Aligned,231_AM
0.310493546,231,Aligned,231_AM
0.653031876,231,Aligned,231_AM
0.680268328,231,Aligned,231_AM
0.302007253,231,Aligned,231_AM
0.58602458,231,Aligned,231_AM
0.308085148,231,Aligned,231_AM
0.460210322,231,Aligned,231_AM
0.176306613,231,Aligned,231_AM
0.234096125,231,Aligned,231_AM
0.12413852,231,Aligned,231_AM
0.074993052,231,Aligned,231_AM
0.043125459,231,Aligned,231_AM
0.60897822,231,Aligned,231_AM
0.210920538,231,Aligned,231_AM
0.026894579,231,Aligned,231_AM
0.045724435,231,Aligned,231_AM
0.4476121,231,Aligned,231_AM
0.36565399,231,Aligned,231_AM
0.213220243,231,Aligned,231_AM
0.017531992,231,Aligned,231_AM
0.303970665,231,Aligned,231_AM
0.623958214,231,Aligned,231_AM
0.045367716,231,Aligned,231_AM
0.096889302,231,Aligned,231_AM
0.08947809,231,Aligned,231_AM
0.047480307,231,Aligned,231_AM
0.026938531,231,Aligned,231_AM
0.126024424,231,Aligned,231_AM
0.370714252,231,Aligned,231_AM
0.122882345,231,Aligned,231_AM
0.171192369,231,Aligned,231_AM
0.409507584,231,Aligned,231_AM
0.25024439,231,Aligned,231_AM
0.084944335,231,Aligned,231_AM
0.141155421,231,Aligned,231_AM
0.007048367,231,Aligned,231_AM
0.069282636,231,Aligned,231_AM
0.662753005,231,Aligned,231_AM
0.591263201,231,Aligned,231_AM
0.165943171,231,Aligned,231_AM
0.076717192,231,Aligned,231_AM
0.151376248,231,Aligned,231_AM
0.156135962,231,Aligned,231_AM
0.309348435,231,Aligned,231_AM
0.180814289,231,Aligned,231_AM
0.771614557,231,Aligned,231_AM
0.215369126,231,Aligned,231_AM
0.053872793,231,Aligned,231_AM
0.202414732,231,Aligned,231_AM
0.075544543,231,Aligned,231_AM
0.331873136,231,Aligned,231_AM
0.692298279,231,Aligned,231_AM
0.43721966,231,Aligned,231_AM
0.017318799,231,Aligned,231_AM
0.069158988,231,Aligned,231_AM
0.413980243,231,Aligned,231_AM
0.237101606,231,Aligned,231_AM
0.005016019,231,Aligned,231_AM
0.181422133,231,Aligned,231_AM
0.045393977,231,Aligned,231_AM
0.128006802,231,Aligned,231_AM
0.716141163,231,Aligned,231_AM
0.210948076,231,Aligned,231_AM
0.06792488,231,Aligned,231_AM
0.778967045,231,Aligned,231_AM
0.230168025,231,Aligned,231_AM
0.040930253,231,Aligned,231_AM
0.035749079,231,Aligned,231_AM
0.519749506,231,Aligned,231_AM
0.14080545,231,Aligned,231_AM
0.271073767,231,Aligned,231_AM
-1.50632E-05,231,Aligned,231_AM
0.052410721,231,Aligned,231_AM
0.56344389,231,Aligned,231_AM
0.363255805,231,Aligned,231_AM
0.15630119,231,Aligned,231_AM
0.119447378,231,Aligned,231_AM
0.624016025,231,Aligned,231_AM
0.18974958,231,Aligned,231_AM
0.393250625,231,Aligned,231_AM
0.654773888,231,Aligned,231_AM
0.302815159,231,Aligned,231_AM
0.384159589,231,Aligned,231_AM
0.289346295,231,Aligned,231_AM
