Cicrularity ,,Alignment,Cell
0.725,0.982,AM,MDA-MB-231
0.47,0.97,AM,MDA-MB-231
0.54,0.97,AM,MDA-MB-231
0.62,0.98,AM,MDA-MB-231
0.473,0.954,AM,MDA-MB-231
0.538,0.969,AM,MDA-MB-231
0.578,0.973,AM,MDA-MB-231
0.351,0.955,AM,MDA-MB-231
0.496,0.971,AM,MDA-MB-231
0.529,0.964,AM,MDA-MB-231
0.562,0.971,AM,MDA-MB-231
0.484,0.97,AM,MDA-MB-231
0.734,0.979,AM,MDA-MB-231
0.895,0.978,AM,MDA-MB-231
0.741,0.973,AM,MDA-MB-231
0.624,0.975,AM,MDA-MB-231
0.524,0.969,AM,MDA-MB-231
0.435,0.975,AM,MDA-MB-231
0.632,0.969,AM,MDA-MB-231
0.396,0.956,AM,MDA-MB-231
0.629,0.971,AM,MDA-MB-231
0.869,0.973,AM,MDA-MB-231
0.554,0.96,AM,MDA-MB-231
0.758,0.962,AM,MDA-MB-231
0.724,0.975,AM,MDA-MB-231
0.513,0.965,AM,MDA-MB-231
0.67,0.975,AM,MDA-MB-231
0.387,0.955,AM,MDA-MB-231
0.724,0.951,AM,MDA-MB-231
0.51,0.933,AM,MDA-MB-231
0.749,0.977,AM,MDA-MB-231
0.473,0.951,AM,MDA-MB-231
0.582,0.97,AM,MDA-MB-231
0.534,0.966,AM,MDA-MB-231
0.884,0.979,AM,MDA-MB-231
0.604,0.966,AM,MDA-MB-231
0.481,0.973,AM,MDA-MB-231
0.901,0.979,AM,MDA-MB-231
0.565,0.973,AM,MDA-MB-231
0.557,0.974,AM,MDA-MB-231
0.405,0.964,AM,MDA-MB-231
0.542,0.968,AM,MDA-MB-231
0.808,0.969,AM,MDA-MB-231
0.687,0.957,AM,MDA-MB-231
0.563,0.93,AM,MDA-MB-231
0.554,0.974,AM,MDA-MB-231
0.697,0.976,AM,MDA-MB-231
0.756,0.954,AM,MDA-MB-231
0.595,0.943,AM,MDA-MB-231
0.689,0.968,AM,MDA-MB-231
0.872,0.978,AM,MDA-MB-231
0.746,0.969,AM,MDA-MB-231
0.48,0.936,AM,MDA-MB-231
0.821,0.971,AM,MDA-MB-231
0.712,0.968,AM,MDA-MB-231
0.416,0.95,AM,MDA-MB-231
0.511,0.963,AM,MDA-MB-231
0.772,0.97,AM,MDA-MB-231
0.646,0.973,AM,MDA-MB-231
0.682,0.977,AM,MDA-MB-231
