Cicrularity ,Alignment,Cell
0.725,Aligned,MDA-MB-231
0.47,Aligned,MDA-MB-231
0.54,Aligned,MDA-MB-231
0.62,Aligned,MDA-MB-231
0.473,Aligned,MDA-MB-231
0.538,Aligned,MDA-MB-231
0.578,Aligned,MDA-MB-231
0.351,Aligned,MDA-MB-231
0.496,Aligned,MDA-MB-231
0.529,Aligned,MDA-MB-231
0.562,Aligned,MDA-MB-231
0.484,Aligned,MDA-MB-231
0.734,Aligned,MDA-MB-231
0.895,Aligned,MDA-MB-231
0.741,Aligned,MDA-MB-231
0.624,Aligned,MDA-MB-231
0.524,Aligned,MDA-MB-231
0.435,Aligned,MDA-MB-231
0.632,Aligned,MDA-MB-231
0.396,Aligned,MDA-MB-231
0.629,Aligned,MDA-MB-231
0.869,Aligned,MDA-MB-231
0.554,Aligned,MDA-MB-231
0.758,Aligned,MDA-MB-231
0.724,Aligned,MDA-MB-231
0.513,Aligned,MDA-MB-231
0.67,Aligned,MDA-MB-231
0.387,Aligned,MDA-MB-231
0.724,Aligned,MDA-MB-231
0.51,Aligned,MDA-MB-231
0.749,Aligned,MDA-MB-231
0.473,Aligned,MDA-MB-231
0.582,Aligned,MDA-MB-231
0.534,Aligned,MDA-MB-231
0.884,Aligned,MDA-MB-231
0.604,Aligned,MDA-MB-231
0.481,Aligned,MDA-MB-231
0.901,Aligned,MDA-MB-231
0.565,Aligned,MDA-MB-231
0.557,Aligned,MDA-MB-231
0.405,Aligned,MDA-MB-231
0.542,Aligned,MDA-MB-231
0.808,Aligned,MDA-MB-231
0.687,Aligned,MDA-MB-231
0.563,Aligned,MDA-MB-231
0.554,Aligned,MDA-MB-231
0.697,Aligned,MDA-MB-231
0.756,Aligned,MDA-MB-231
0.595,Aligned,MDA-MB-231
0.689,Aligned,MDA-MB-231
0.872,Aligned,MDA-MB-231
0.746,Aligned,MDA-MB-231
0.48,Aligned,MDA-MB-231
0.821,Aligned,MDA-MB-231
0.712,Aligned,MDA-MB-231
0.416,Aligned,MDA-MB-231
0.511,Aligned,MDA-MB-231
0.772,Aligned,MDA-MB-231
0.646,Aligned,MDA-MB-231
0.682,Aligned,MDA-MB-231
0.68,Aligned,MDA-MB-231
0.612,Aligned,MDA-MB-231
0.842,Aligned,MDA-MB-231
0.482,Aligned,MDA-MB-231
0.419,Aligned,MDA-MB-231
0.819,Aligned,MDA-MB-231
0.504,Aligned,MDA-MB-231
0.699,Aligned,MDA-MB-231
0.813,Random,MDA-MB-231
0.765,Random,MDA-MB-231
0.667,Random,MDA-MB-231
0.792,Random,MDA-MB-231
0.846,Random,MDA-MB-231
0.662,Random,MDA-MB-231
0.611,Random,MDA-MB-231
0.907,Random,MDA-MB-231
0.564,Random,MDA-MB-231
0.78,Random,MDA-MB-231
0.752,Random,MDA-MB-231
0.74,Random,MDA-MB-231
