,Number ,,,,,,,Cicrularity ,,Alignment,Cell
1,Trial1_1-0002.tif,183.941,368.431,148,1608,0.869,1.379,0.725,0.982,AM,MDA-MB-231
2,Trial1_1-0002.tif,115.113,316.633,149,1193,0.751,2.127,0.47,0.97,AM,MDA-MB-231
3,Trial1_1-0002.tif,88.053,314.789,147,1381,0.82,1.853,0.54,0.97,AM,MDA-MB-231
4,Trial1_1-0002.tif,108.869,341.884,148,1844,0.862,1.614,0.62,0.98,AM,MDA-MB-231
5,Trial1_1-0002.tif,128.423,289.846,148,1306,0.759,2.113,0.473,0.954,AM,MDA-MB-231
6,Trial1_2-0002.tif,113.842,322.785,147,1176,0.81,1.86,0.538,0.969,AM,MDA-MB-231
7,Trial1_2-0002.tif,96.646,297.435,148,1630,0.809,1.731,0.578,0.973,AM,MDA-MB-231
8,Trial1_2-0002.tif,98.795,258.166,147,1573,0.663,2.846,0.351,0.955,AM,MDA-MB-231
9,Trial1_2-0002.tif,133.853,274.86,148,1304,0.772,2.017,0.496,0.971,AM,MDA-MB-231
10,Trial1_2-0002.tif,136.577,297.897,147,1311,0.748,1.889,0.529,0.964,AM,MDA-MB-231
11,Trial1_3-0002.tif,116.411,273.185,147,1235,0.787,1.778,0.562,0.971,AM,MDA-MB-231
12,Trial1_3-0002.tif,117.645,344.861,147,1325,0.772,2.067,0.484,0.97,AM,MDA-MB-231
13,Trial1_3-0002.tif,113.385,355.445,148,3150,0.909,1.362,0.734,0.979,AM,MDA-MB-231
14,Trial1_3-0002.tif,114.619,350.542,148,1479,0.917,1.118,0.895,0.978,AM,MDA-MB-231
15,Trial1_3-0002.tif,74.048,355.419,148,1417,0.907,1.35,0.741,0.973,AM,MDA-MB-231
16,Trial1_4-0002.tif,140.719,322.115,148,3112,0.849,1.602,0.624,0.975,AM,MDA-MB-231
17,Trial1_4-0002.tif,68.078,294.925,147,1122,0.762,1.909,0.524,0.969,AM,MDA-MB-231
18,Trial1_4-0002.tif,120.662,281.03,148,1166,0.726,2.299,0.435,0.975,AM,MDA-MB-231
19,Trial1_4-0002.tif,69.623,336.535,148,1143,0.798,1.581,0.632,0.969,AM,MDA-MB-231
20,Trial1_4-0002.tif,122.664,267.606,147,1445,0.643,2.525,0.396,0.956,AM,MDA-MB-231
21,Trial1_5-0002.tif,101.044,424.692,148,1447,0.824,1.589,0.629,0.971,AM,MDA-MB-231
22,Trial1_5-0002.tif,99.91,597.789,150,2700,0.896,1.151,0.869,0.973,AM,MDA-MB-231
23,Trial1_5-0002.tif,89.351,499.77,150,1732,0.761,1.805,0.554,0.96,AM,MDA-MB-231
24,Trial1_5-0002.tif,62.904,430.565,149,1623,0.821,1.319,0.758,0.962,AM,MDA-MB-231
25,Trial1_5-0002.tif,125.745,363.037,148,1679,0.915,1.382,0.724,0.975,AM,MDA-MB-231
26,Trial1_6-0002.tif,107.955,381.067,149,1668,0.762,1.949,0.513,0.965,AM,MDA-MB-231
27,Trial1_6-0002.tif,97.497,314.057,148,2297,0.875,1.494,0.67,0.975,AM,MDA-MB-231
28,Trial1_6-0002.tif,84.223,291.235,146,1100,0.686,2.585,0.387,0.955,AM,MDA-MB-231
29,Trial1_6-0002.tif,75.803,324.014,148,1244,0.864,1.381,0.724,0.951,AM,MDA-MB-231
30,Trial1_6-0002.tif,79.743,324.618,148,1195,0.765,1.962,0.51,0.933,AM,MDA-MB-231
31,Trial1_8-0002.tif,114.071,435.309,149,1637,0.927,1.335,0.749,0.977,AM,MDA-MB-231
32,Trial1_8-0002.tif,58.608,393.414,149,1919,0.76,2.114,0.473,0.951,AM,MDA-MB-231
33,Trial1_8-0002.tif,127.82,458.12,148,2168,0.758,1.719,0.582,0.97,AM,MDA-MB-231
34,Trial1_8-0002.tif,97.652,544.09,148,2700,0.735,1.873,0.534,0.966,AM,MDA-MB-231
35,Trial1_8-0002.tif,94.087,370.082,149,1429,0.929,1.132,0.884,0.979,AM,MDA-MB-231
36,Trial1_10-0002.tif,120.717,368.721,148,1421,0.85,1.657,0.604,0.966,AM,MDA-MB-231
37,Trial1_10-0002.tif,85.32,390.71,149,2540,0.759,2.078,0.481,0.973,AM,MDA-MB-231
38,Trial1_10-0002.tif,184.361,436.466,148,2784,0.938,1.11,0.901,0.979,AM,MDA-MB-231
39,Trial1_10-0002.tif,80.621,402.185,149,2326,0.812,1.77,0.565,0.973,AM,MDA-MB-231
40,Trial1_10-0002.tif,76.471,326.8,148,1841,0.817,1.796,0.557,0.974,AM,MDA-MB-231
41,Trial1_11-0002.tif,76.507,481.998,150,2117,0.616,2.466,0.405,0.964,AM,MDA-MB-231
42,Trial1_11-0002.tif,101.172,645.217,149,2139,0.78,1.845,0.542,0.968,AM,MDA-MB-231
43,Trial1_11-0002.tif,133.424,601.466,151,2150,0.82,1.238,0.808,0.969,AM,MDA-MB-231
44,Trial1_11-0002.tif,53.717,614.605,152,1826,0.839,1.456,0.687,0.957,AM,MDA-MB-231
45,Trial1_11-0002.tif,73.015,603.206,150,1927,0.71,1.776,0.563,0.93,AM,MDA-MB-231
46,Trial1_12-0002.tif,103.658,577.22,150,2251,0.819,1.807,0.554,0.974,AM,MDA-MB-231
47,Trial1_12-0002.tif,101.098,553.226,150,2261,0.888,1.435,0.697,0.976,AM,MDA-MB-231
48,Trial1_12-0002.tif,125.169,546.997,150,1955,0.863,1.323,0.756,0.954,AM,MDA-MB-231
49,Trial1_12-0002.tif,78.838,603.888,153,1888,0.792,1.681,0.595,0.943,AM,MDA-MB-231
50,Trial1_12-0002.tif,49.978,652.959,151,2265,0.829,1.45,0.689,0.968,AM,MDA-MB-231
51,Trial1_13-0002.tif,85.749,697.359,152,2782,0.929,1.147,0.872,0.978,AM,MDA-MB-231
52,Trial1_13-0002.tif,60.957,696.516,151,2551,0.91,1.34,0.746,0.969,AM,MDA-MB-231
53,Trial1_13-0002.tif,69.431,606.318,151,1756,0.714,2.082,0.48,0.936,AM,MDA-MB-231
54,Trial1_13-0002.tif,63.243,738.152,151,2518,0.923,1.218,0.821,0.971,AM,MDA-MB-231
55,Trial1_13-0002.tif,110.24,598.485,149,2428,0.863,1.405,0.712,0.968,AM,MDA-MB-231
56,Trial1_15-0002.tif,48.04,735.131,157,2079,0.703,2.405,0.416,0.95,AM,MDA-MB-231
57,Trial1_15-0002.tif,119.976,740.184,152,4004,0.8,1.959,0.511,0.963,AM,MDA-MB-231
58,Trial1_15-0002.tif,70.391,643.507,152,2124,0.911,1.296,0.772,0.97,AM,MDA-MB-231
59,Trial1_15-0002.tif,75.099,657.301,151,2188,0.89,1.548,0.646,0.973,AM,MDA-MB-231
60,Trial1_15-0002.tif,81.8,551.125,151,2064,0.905,1.467,0.682,0.977,AM,MDA-MB-231
61,Trial1_16-0002.tif,89.488,678.201,151,2362,0.889,1.471,0.68,0.973,AM,MDA-MB-231
62,Trial1_17-0002.tif,88.958,575.066,149,1842,0.811,1.633,0.612,0.964,AM,MDA-MB-231
63,Trial1_17-0002.tif,74.971,634.193,150,2011,0.92,1.187,0.842,0.977,AM,MDA-MB-231
64,Trial1_17-0002.tif,109.353,501.056,151,1926,0.713,2.075,0.482,0.973,AM,MDA-MB-231
65,Trial1_17-0002.tif,109.911,582.987,150,2025,0.693,2.389,0.419,0.974,AM,MDA-MB-231
66,Trial1_17-0002.tif,89.854,709.641,150,2382,0.909,1.221,0.819,0.966,AM,MDA-MB-231
67,Trial1_18-0002.tif,91.673,529.677,149,2005,0.793,1.983,0.504,0.968,AM,MDA-MB-231
68,Trial1_18-0002.tif,71.05,599.892,150,2339,0.896,1.43,0.699,0.974,AM,MDA-MB-231
1,Trial1_1-0002.tif,142.419,326.147,148,1356,0.923,1.23,0.813,0.98,RM,MDA-MB-231
2,Trial1_1-0002.tif,148.16,416.671,147,1803,0.889,1.308,0.765,0.977,RM,MDA-MB-231
