Alignment,Diameter
Aligned,1.045
Aligned,1.119
Aligned,0.487
Aligned,0.498
Aligned,0.462
Aligned,0.933
Aligned,0.822
Aligned,1.166
Aligned,0.936
Aligned,1.045
Aligned,1.032
Aligned,0.896
Aligned,0.56
Aligned,0.448
Aligned,0.344
Aligned,0.686
Aligned,0.478
Aligned,0.97
Aligned,0.524
Aligned,1.053
Aligned,0.635
Aligned,0.449
Aligned,0.373
Aligned,0.454
Aligned,0.485
Aligned,0.644
Aligned,0.607
Aligned,0.448
Aligned,0.41
Aligned,0.336
Aligned,0.53
Aligned,0.807
Aligned,0.724
Aligned,0.57
Aligned,0.652
Aligned,0.373
Aligned,0.667
Aligned,0.89
Aligned,0.798
Aligned,0.756
Aligned,1.307
Aligned,1.157
Aligned,0.602
Aligned,1.469
Aligned,0.373
Aligned,0.672
Aligned,0.642
Aligned,0.66
Aligned,0.89
Aligned,0.821
Aligned,0.56
Aligned,1.113
Aligned,0.994
Aligned,0.534
Aligned,0.402
Aligned,0.858
Aligned,0.747
Aligned,0.543
Aligned,0.71
Aligned,1.068
Aligned,0.933
Aligned,0.621
Aligned,0.642
Aligned,0.404
Aligned,0.579
Aligned,0.851
Aligned,0.887
Aligned,0.56
Aligned,0.761
Aligned,0.688
Aligned,0.936
Aligned,0.579
Aligned,0.435
Aligned,0.449
Aligned,0.911
Aligned,0.334
Aligned,0.973
Aligned,0.801
Aligned,0.412
Aligned,0.787
Aligned,0.59
Aligned,0.815
Aligned,0.239
Aligned,0.603
Aligned,0.688
Aligned,0.485
Aligned,0.709
Aligned,0.846
Aligned,0.352
Aligned,0.319
Aligned,0.951
Aligned,0.462
Aligned,1.159
Aligned,0.402
Aligned,0.779
Aligned,0.57
Aligned,0.449
Aligned,1.018
Aligned,0.977
Aligned,0.568
Aligned,1.051
Aligned,0.607
Aligned,0.985
Aligned,0.528
Aligned,0.451
Aligned,0.598
Aligned,0.555
Aligned,0.673
Aligned,0.264
Aligned,0.887
Aligned,1.137
Aligned,0.352
Aligned,0.638
Aligned,0.518
Aligned,0.425
Aligned,0.652
Aligned,0.768
Aligned,0.902
Aligned,0.501
Aligned,0.373
Random,1.24
Random,0.776
Random,0.942
Random,1.298
Random,0.842
Random,1.166
Random,1.008
Random,1.172
Random,0.979
Random,1.008
Random,1.218
Random,0.861
Random,1.108
Random,1.109
Random,1.435
Random,1.108
Random,1.717
Random,1.24
Random,1.252
Random,1.287
Random,1.519
Random,1.161
Random,0.804
Random,1.314
Random,1.057
Random,1.171
Random,1.303
Random,1.202
Random,1.142
Random,1.166
Random,1.352
Random,1.449
Random,2.089
Random,1.524
Random,1.192
Random,1.434
Random,1.293
Random,0.859
Random,1.412
Random,0.896
Random,1.196
Random,1.242
Random,0.818
Random,1.548
Random,1.169
Random,1.958
Random,1.587
Random,1.642
Random,1.652
Random,1.109
Random,1.411
Random,1.203
Random,1.47
Random,1.323
Random,1.234
Random,1.469
Random,0.779
Random,1.045
Random,1.405
Random,1.53
Random,1.314
Random,0.942
Random,0.968
Random,1.199
Random,1.025
Random,1.308
Random,0.909
Random,1.381
Random,1.102
Random,1.135
Random,1.118
Random,0.871
Random,1.157
Random,1.245
Random,0.903
Random,0.87
Random,1.108
Random,0.868
Random,0.858
Random,0.852
Random,1.057
Random,1.159
Random,1.051
Random,1.102
Random,0.923
Random,1.266
Random,1.493
Random,1.504
Random,1.436
Random,1.222
Random,1.263
Random,1.067
Random,1.168
Random,1.162
Random,1.203
Random,0.818
Random,1.047
Random,1.172
Random,1.137
Random,1.076
Random,1.455
Random,0.791
Random,1.12
Random,1.276
Random,1.34
Random,1.231
Random,1.088
Random,1.186
Random,1.113
Random,1.171
Random,1.032
Random,0.909
Random,1.204
Random,1.159
Random,0.936
Random,1.314
Random,0.834
Random,1.269
Random,0.979
Random,1.254
