Alignment,Diameter
A,1.045
A,1.119
A,0.487
A,0.498
A,0.462
A,0.933
A,0.822
A,1.166
A,0.936
A,1.045
A,1.032
A,0.896
A,0.56
A,0.448
A,0.344
A,0.686
A,0.478
A,0.97
A,0.524
A,1.053
A,0.635
A,0.449
A,0.373
A,0.454
A,0.485
A,0.644
A,0.607
A,0.448
A,0.41
A,0.336
A,0.53
A,0.807
A,0.724
A,0.57
A,0.652
A,0.373
A,0.667
A,0.89
A,0.798
A,0.756
A,1.307
A,1.157
A,0.602
A,1.469
A,0.373
A,0.672
A,0.642
A,0.66
A,0.89
A,0.821
A,0.56
A,1.113
A,0.994
A,0.534
A,0.402
A,0.858
A,0.747
A,0.543
A,0.71
A,1.068
A,0.933
A,0.621
A,0.642
A,0.404
A,0.579
A,0.851
A,0.887
A,0.56
A,0.761
A,0.688
A,0.936
A,0.579
A,0.435
A,0.449
A,0.911
A,0.334
A,0.973
A,0.801
A,0.412
A,0.787
A,0.59
A,0.815
A,0.239
A,0.603
A,0.688
A,0.485
A,0.709
A,0.846
A,0.352
A,0.319
A,0.951
A,0.462
A,1.159
A,0.402
A,0.779
A,0.57
A,0.449
A,1.018
A,0.977
A,0.568
A,1.051
A,0.607
A,0.985
A,0.528
A,0.451
A,0.598
A,0.555
A,0.673
A,0.264
A,0.887
A,1.137
A,0.352
A,0.638
A,0.518
A,0.425
A,0.652
A,0.768
A,0.902
A,0.501
A,0.373
R,1.24
R,0.776
R,0.942
R,1.298
R,0.842
R,1.166
R,1.008
R,1.172
R,0.979
R,1.008
R,1.218
R,0.861
R,1.108
R,1.109
R,1.435
R,1.108
R,1.717
R,1.24
R,1.252
R,1.287
R,1.519
R,1.161
R,0.804
R,1.314
R,1.057
R,1.171
R,1.303
R,1.202
R,1.142
R,1.166
R,1.352
R,1.449
R,2.089
R,1.524
R,1.192
R,1.434
R,1.293
R,0.859
R,1.412
R,0.896
R,1.196
R,1.242
R,0.818
R,1.548
R,1.169
R,1.958
R,1.587
R,1.642
R,1.652
R,1.109
R,1.411
R,1.203
R,1.47
R,1.323
R,1.234
R,1.469
R,0.779
R,1.045
R,1.405
R,1.53
R,1.314
R,0.942
R,0.968
R,1.199
R,1.025
R,1.308
R,0.909
R,1.381
R,1.102
R,1.135
R,1.118
R,0.871
R,1.157
R,1.245
R,0.903
R,0.87
R,1.108
R,0.868
R,0.858
R,0.852
R,1.057
R,1.159
R,1.051
R,1.102
R,0.923
R,1.266
R,1.493
R,1.504
R,1.436
R,1.222
R,1.263
R,1.067
R,1.168
R,1.162
R,1.203
R,0.818
R,1.047
R,1.172
R,1.137
R,1.076
R,1.455
R,0.791
R,1.12
R,1.276
R,1.34
R,1.231
R,1.088
R,1.186
R,1.113
R,1.171
R,1.032
R,0.909
R,1.204
R,1.159
R,0.936
R,1.314
R,0.834
R,1.269
R,0.979
R,1.254
