Type,Cell,Gene,Alignment ,Value
10A_A_LDHA,MCF-10A,LDHA,Aligned ,1.644991
10A_A_LDHA,MCF-10A,LDHA,Aligned ,5.777741
10A_A_LDHA,MCF-10A,LDHA,Aligned ,0.738203
10A_R_LDHA,MCF-10A,LDHA,Random,1.024569445
10A_R_LDHA,MCF-10A,LDHA,Random,0.971498676
10A_R_LDHA,MCF-10A,LDHA,Random,1.005303317
10A_A_Vim,MCF-10A,Vimentin,Aligned ,1.868555077
10A_A_Vim,MCF-10A,Vimentin,Aligned ,2.677805367
10A_A_Vim,MCF-10A,Vimentin,Aligned ,1.31954231
10A_R_Vim,MCF-10A,Vimentin,Random,2.256324183
10A_R_Vim,MCF-10A,Vimentin,Random,0.294743681
10A_R_Vim,MCF-10A,Vimentin,Random,1.505829491
10A_A_Ecad,MCF-10A,E-Cadherin,Aligned ,2.250364
10A_A_Ecad,MCF-10A,E-Cadherin,Aligned ,0.482032888
10A_R_Ecad,MCF-10A,E-Cadherin,Random,1.19485218
10A_R_Ecad,MCF-10A,E-Cadherin,Random,0.954108675
231_R_LDHA,MDA-MB-231,LDHA,Random,1.129603475
231_R_LDHA,MDA-MB-231,LDHA,Random,1.103490181
231_R_LDHA,MDA-MB-231,LDHA,Random,0.806593262
231_A_LDHA,MDA-MB-231,LDHA,Aligned ,0.767158348
231_A_LDHA,MDA-MB-231,LDHA,Aligned ,0.60444734
231_R_Vim,MDA-MB-231,Vimentin,Random,1.106068956
231_R_Vim,MDA-MB-231,Vimentin,Random,0.968985621
231_R_Vim,MDA-MB-231,Vimentin,Random,0.938396308
231_A_Vim,MDA-MB-231,Vimentin,Aligned ,0.665898151
231_A_Vim,MDA-MB-231,Vimentin,Aligned ,4.365648811
231_A_Vim,MDA-MB-231,Vimentin,Aligned ,0.913782657
231_A_Ecad,MDA-MB-231,E-Cadherin,Aligned ,0.482208
231_R_Ecad,MDA-MB-231,E-Cadherin,Random,1.058694133
231_R_Ecad,MDA-MB-231,E-Cadherin,Random,1.782259383
231_R_Ecad,MDA-MB-231,E-Cadherin,Random,0.530698188
10A_A_LDHA,MCF-10A,LDHA,Aligned ,5.212
10A_A_LDHA,MCF-10A,LDHA,Aligned ,0.754
10A_R_LDHA,MCF-10A,LDHA,Random,1.840
10A_R_LDHA,MCF-10A,LDHA,Random,0.850
10A_R_LDHA,MCF-10A,LDHA,Random,0.642
10A_A_Vim,MCF-10A,Vimentin,Aligned ,2.289
10A_A_Vim,MCF-10A,Vimentin,Aligned ,1.478
10A_A_Vim,MCF-10A,Vimentin,Aligned ,1.273
10A_R_Vim,MCF-10A,Vimentin,Random,0.556
10A_R_Vim,MCF-10A,Vimentin,Random,1.582
10A_R_Vim,MCF-10A,Vimentin,Random,1.141
231_R_LDHA,MDA-MB-231,LDHA,Random,0.804
231_R_LDHA,MDA-MB-231,LDHA,Random,0.857
231_R_LDHA,MDA-MB-231,LDHA,Random,1.452
231_A_LDHA,MDA-MB-231,LDHA,Aligned ,1.063
231_A_LDHA,MDA-MB-231,LDHA,Aligned ,1.470
231_A_LDHA,MDA-MB-231,LDHA,Aligned ,1.117
231_R_Vim,MDA-MB-231,Vimentin,Random,0.993
231_R_Vim,MDA-MB-231,Vimentin,Random,0.529
231_R_Vim,MDA-MB-231,Vimentin,Random,1.911
231_A_Vim,MDA-MB-231,Vimentin,Aligned ,1.125
231_A_Vim,MDA-MB-231,Vimentin,Aligned ,1.149
231_A_Vim,MDA-MB-231,Vimentin,Aligned ,1.389182218
231_A_Vim,MDA-MB-231,Vimentin,Aligned ,1.26498961
231_R_Vim,MDA-MB-231,Vimentin,Random,0.857455586
231_R_Vim,MDA-MB-231,Vimentin,Random,0.603748621
231_R_Vim,MDA-MB-231,Vimentin,Random,2.344201721
10A_A_LDHA,MCF-10A,LDHA,Aligned ,0.766171168
10A_A_LDHA,MCF-10A,LDHA,Aligned ,0.754335109
10A_R_LDHA,MCF-10A,LDHA,Random,0.694375437
10A_R_LDHA,MCF-10A,LDHA,Random,0.65624113
