AM_10A,AM_10A_val,RM_10A,RM_10A_val,AM_231,AM_231_val,RM_231,RM_231_val
N1_n1,0.2921,N1_n1,0.2837,N1_n1,0.469,N1_n1,0.4464
N1_n1,0.2766,N1_n1,0.3161,N1_n1,0.4091,N1_n1,0.4094
N1_n1,0.238,N1_n1,0.3081,N1_n1,0.3955,N1_n1,0.4491
N1_n1,0.2578,N1_n1,0.3024,N1_n1,0.4365,N1_n1,0.4025
N1_n1,0.2915,N1_n1,0.3265,N1_n1,0.4263,N1_n1,0.4631
N1_n1,0.3016,N1_n1,0.3153,N1_n1,0.4437,N1_n1,0.3947
N1_n1,0.256,N1_n1,0.3406,N1_n1,0.4367,N1_n1,0.4277
N1_n1,0.2658,N1_n1,0.3376,N1_n1,0.3956,N1_n1,0.4044
N1_n1,0.294,N1_n1,0.3227,N1_n1,0.3777,N1_n1,0.3944
N1_n1,0.3213,N1_n1,0.3302,N1_n1,0.3948,N1_n1,0.3687
N1_n1,0.2725,N1_n1,0.3022,N1_n1,0.4345,N1_n1,0.4152
N1_n1,0.2457,N1_n1,0.3316,N1_n1,0.4432,N1_n1,0.3284
N1_n1,0.2639,N1_n1,0.3044,N1_n1,0.4196,N1_n1,0.3775
N1_n1,0.3052,N1_n1,0.3042,N1_n1,0.4394,N1_n1,0.3832
N1_n1,0.2811,N1_n1,0.3102,N1_n1,0.4193,N1_n1,0.4507
N1_n1,0.2803,N1_n2,0.317690578,N1_n1,0.43,N1_n2,0.425198697
N1_n1,0.2945,N1_n2,0.30581656,N1_n1,0.4147,N1_n2,0.412111064
N1_n1,0.2717,N1_n2,0.287011991,N1_n1,0.4146,N1_n2,0.417788348
N1_n1,0.2985,N1_n2,0.295687295,N1_n1,0.4133,N1_n2,0.370995575
N1_n1,0.2619,N1_n2,0.309402998,N1_n1,0.4415,N1_n2,0.381931817
N1_n1,0.29,N1_n2,0.304314133,N1_n1,0.4014,N1_n2,0.481852016
N1_n1,0.2812,N1_n2,0.302908637,N1_n1,0.4288,N1_n2,0.406314258
N1_n1,0.2786,N1_n2,0.286963526,N1_n1,0.4137,N1_n2,0.44766879
N1_n1,0.3048,N1_n2,0.292633976,N1_n1,0.4068,N1_n2,0.426872002
N1_n1,0.2986,N1_n2,0.30707666,N1_n1,0.4073,N1_n2,0.41049752
N1_n1,0.2854,N1_n2,0.273538615,N1_n2,0.392389971,N1_n2,0.444202659
N1_n1,0.264,N1_n2,0.29132541,N1_n2,0.416951695,N1_n2,0.435119004
N1_n1,0.278,N1_n2,0.304798787,N1_n2,0.403146931,N1_n2,0.441035332
N1_n1,0.2851,N1_n2,0.299079872,N1_n2,0.497270325,N1_n2,0.431712634
N1_n1,0.275,N1_n2,0.30518651,N1_n2,0.380318273,N1_n2,0.461354033
N1_n2,0.317690578,N1_n2,0.299419129,N1_n2,0.398186777,N1_n2,0.463624946
N1_n2,0.30581656,N1_n2,0.298401356,N1_n2,0.381633012,N1_n2,0.469481513
N1_n2,0.287011991,N1_n2,0.289726053,N1_n2,0.384083208,N1_n2,0.436254461
N1_n2,0.295687295,N1_n2,0.301309279,N1_n2,0.367947769,N1_n2,0.39633419
N1_n2,0.309402998,N1_n2,0.316285082,N1_n2,0.392210689,N1_n2,0.411931781
N1_n2,0.304314133,N1_n2,0.344831192,N1_n2,0.409601106,N2_n1,0.4051
N1_n2,0.302908637,N1_n2,0.283377088,N1_n2,0.495118933,N2_n1,0.4187
N1_n2,0.286963526,N1_n2,0.301454675,N1_n2,0.35784818,N2_n1,0.4662
N1_n2,0.292633976,N1_n2,0.281196146,N1_n2,0.383784404,N2_n1 ,0.4505
N1_n2,0.30707666,N1_n2,0.348126838,N1_n2,0.390059297,N2_n1,0.415
N1_n2,0.273538615,N2_n1,0.3095,N1_n2,0.388385992,N2_n1,0.3864
N1_n2,0.29132541,N2_n1,0.319,N1_n2,0.374999554,N2_n1,0.3991
N1_n2,0.304798787,N2_n1 ,0.2901,N1_n2,0.379959707,N2_n1 ,0.4005
N1_n2,0.299079872,N2_n1,0.3006,N1_n2,0.348346199,N2_n1,0.5455
N1_n2,0.30518651,N2_n1,0.3101,N1_n2,0.372310314,N2_n1,0.4062
N1_n2,0.299419129,N2_n1,0.2801,N1_n2,0.358027463,N2_n1,0.4272
N1_n2,0.298401356,N2_n1,0.2903,N1_n2,0.506772305,N2_n1,0.4112
N1_n2,0.289726053,N2_n1 ,0.2792,N1_n2,0.418505478,N2_n1 ,0.4405
N1_n2,0.301309279,N2_n1,0.3282,N1_n2,0.483346039,N2_n1,0.4395
N1_n2,0.316285082,N2_n1,0.3271,N1_n2,0.428844111,N2_n1 ,0.3277
N1_n2,0.344831192,N2_n1,0.2957,N2_n1,0.3095,N2_n1,0.4447
N1_n2,0.283377088,N2_n1 ,0.3168,N2_n1,0.319,N2_n1,0.3913
N1_n2,0.301454675,N2_n1,0.3179,N2_n1,0.2901,N2_n1,0.3989
N1_n2,0.281196146,N2_n1,0.3262,N2_n1 ,0.3006,N2_n1 ,0.4301
N1_n2,0.348126838,N2_n1,0.3256,N2_n1,0.3101,N2_n1,0.3776
N2_n1,0.272375,N2_n1,0.3143,N2_n1,0.2801,N2_n1 ,0.392
N2_n1,0.27282252,N2_n1 ,0.3338,N2_n1,0.2903,N2_n1,0.3668
N2_n1 ,0.26366876,N2_n1,0.3089,N2_n1 ,0.2792,N2_n1,0.3704
N2_n1,0.27449053,N2_n1 ,0.3246,N2_n1,0.3282,N2_n1,0.4075
N2_n1,0.28445795,N2_n1,0.2512,N2_n1,0.3271,N2_n1 ,0.373
N2_n1,0.30646764,N2_n1,0.3286,N2_n1,0.2957,N2_n1,0.3362
N2_n1,0.319527,N2_n1,0.3333,N2_n1,0.3168,N2_n1 ,0.3875
N2_n1 ,0.31387201,N2_n1 ,0.4355,N2_n1 ,0.3179,N2_n1,0.3901
N2_n1,0.28710237,N2_n1,0.3271,N2_n1,0.3262,N2_n1 ,0.3758
N2_n1,0.31281425,N2_n1 ,0.46,N2_n1 ,0.3256,N2_n1,0.3541
N2_n1,0.29174027,N2_n2,0.3037,N2_n1,0.3143,N2_n2,0.4843
N2_n1 ,0.31444158,N2_n2,0.3183,N2_n1,0.3338,N2_n2,0.4679
N2_n1,0.31126828,N2_n2 ,0.3102,N2_n1,0.3089,N2_n2 ,0.4912
N2_n1,0.31322108,N2_n2 ,0.3147,N2_n1 ,0.3246,N2_n2 ,0.4711
N2_n1,0.3212357,N2_n2,0.3321,N2_n1,0.2512,N2_n2,0.5251
