Type,Value
AM_10A,0.2921
AM_10A,0.2766
AM_10A,0.238
AM_10A,0.2578
AM_10A,0.2915
AM_10A,0.3016
AM_10A,0.256
AM_10A,0.2658
AM_10A,0.294
AM_10A,0.3213
AM_10A,0.2725
AM_10A,0.2457
AM_10A,0.2639
AM_10A,0.3052
AM_10A,0.2811
AM_10A,0.2803
AM_10A,0.2945
AM_10A,0.2717
AM_10A,0.2985
AM_10A,0.2619
AM_10A,0.29
AM_10A,0.2812
AM_10A,0.2786
AM_10A,0.3048
AM_10A,0.2986
AM_10A,0.2854
AM_10A,0.264
AM_10A,0.278
AM_10A,0.2851
AM_10A,0.275
AM_10A,0.317690578
AM_10A,0.30581656
AM_10A,0.287011991
AM_10A,0.295687295
AM_10A,0.309402998
AM_10A,0.304314133
AM_10A,0.302908637
AM_10A,0.286963526
AM_10A,0.292633976
AM_10A,0.30707666
AM_10A,0.273538615
AM_10A,0.29132541
AM_10A,0.304798787
AM_10A,0.299079872
AM_10A,0.30518651
AM_10A,0.299419129
AM_10A,0.298401356
AM_10A,0.289726053
AM_10A,0.301309279
AM_10A,0.316285082
AM_10A,0.344831192
AM_10A,0.283377088
AM_10A,0.301454675
AM_10A,0.281196146
AM_10A,0.348126838
AM_10A,0.272375
AM_10A,0.27282252
AM_10A,0.26366876
AM_10A,0.27449053
AM_10A,0.28445795
AM_10A,0.30646764
AM_10A,0.319527
AM_10A,0.31387201
AM_10A,0.28710237
AM_10A,0.31281425
AM_10A,0.29174027
AM_10A,0.31444158
AM_10A,0.31126828
AM_10A,0.31322108
AM_10A,0.3212357
AM_10A,0.2682253
AM_10A,0.29056046
AM_10A,0.28779399
AM_10A,0.29544246
AM_10A,0.28352224
AM_10A,0.3284
AM_10A,0.3344
AM_10A,0.3276
AM_10A,0.3528
AM_10A,0.316
AM_10A,0.3329
AM_10A,0.3467
AM_10A,0.3443
AM_10A,0.3286
AM_10A,0.3195
AM_10A,0.3292
AM_10A,0.3153
AM_10A,0.3341
AM_10A,0.3405
AM_10A,0.3335
AM_10A,0.3438
AM_10A,0.3481
AM_10A,0.3527
AM_10A,0.3373
AM_10A,0.3454
AM_10A,0.3778
AM_10A,0.3712
AM_10A,0.4227
AM_10A,0.4337
AM_10A,0.389
AM_10A,0.4897
AM_10A,0.5142
AM_10A,0.4478
AM_10A,0.4045
AM_10A,0.5153
AM_10A,0.4318
AM_10A,0.3625
AM_10A,0.5162
AM_10A,0.4584
AM_10A,0.5335
AM_10A,0.4998
AM_10A,0.4421
AM_10A,0.3907
AM_10A,0.4849
AM_10A,0.3802
AM_10A,0.4622
AM_10A,0.3838
AM_10A,0.4509
AM_10A,0.3964
AM_10A,0.4997
AM_10A,0.2939
AM_10A,0.2721
AM_10A,0.3582
AM_10A,0.3401
AM_10A,0.2965
AM_10A,0.2139
AM_10A,0.351
AM_10A,0.3177
AM_10A,0.377
AM_10A,0.3449
AM_10A,0.245
AM_10A,0.2824
AM_10A,0.2472
AM_10A,0.2487
AM_10A,0.3185
AM_10A,0.2758
AM_10A,0.2947
AM_10A,0.2247
AM_10A,0.215
AM_10A,0.2723
