Value,Cell,Alignment ,Type
10.981903,231,Random,231_RM
4.78097208,231,Random,231_RM
3.95037773,231,Random,231_RM
4.24808126,231,Random,231_RM
10.7073474,231,Random,231_RM
28.7089956,231,Random,231_RM
4.67060358,231,Random,231_RM
17.5969027,231,Random,231_RM
4.69407194,231,Random,231_RM
55.5124905,231,Random,231_RM
12.582727,231,Random,231_RM
61.8303361,231,Random,231_RM
7.94909604,231,Random,231_RM
9.01452673,231,Random,231_RM
15.975418,231,Random,231_RM
59.6258498,231,Random,231_RM
13.5798736,231,Random,231_RM
6.32466633,231,Random,231_RM
21.6839708,231,Random,231_RM
3.8866408,231,Random,231_RM
5.54186323,231,Random,231_RM
25.2475171,231,Random,231_RM
3.55526061,231,Random,231_RM
40.1717563,231,Random,231_RM
22.3912875,231,Random,231_RM
10.5800567,231,Random,231_RM
18.895354,231,Random,231_RM
12.0421151,231,Random,231_RM
19.9183646,231,Random,231_RM
9.81683088,231,Random,231_RM
11.9960481,231,Random,231_RM
90.7512946,231,Random,231_RM
20.8259102,231,Random,231_RM
4.8138095,231,Random,231_RM
9.731182,231,Random,231_RM
19.146197,231,Random,231_RM
54.3515841,231,Random,231_RM
44.208378,231,Random,231_RM
51.9808965,231,Random,231_RM
3.99255367,231,Random,231_RM
4.10878164,231,Random,231_RM
15.2270393,231,Random,231_RM
31.4041968,231,Random,231_RM
11.6384072,231,Random,231_RM
70.9947369,231,Random,231_RM
51.0896324,231,Random,231_RM
54.6695058,231,Random,231_RM
19.2378275,231,Random,231_RM
21.3195701,231,Random,231_RM
12.0470133,231,Random,231_RM
11.0581523,231,Random,231_RM
11.0450601,231,Random,231_RM
25.7352412,231,Random,231_RM
21.3031056,231,Random,231_RM
18.8517132,231,Random,231_RM
52.4326705,231,Random,231_RM
19.9016865,231,Random,231_RM
10.0253454,231,Random,231_RM
9.22294974,231,Random,231_RM
6.21235993,231,Random,231_RM
8.7475549,231,Random,231_RM
5.18774711,231,Random,231_RM
6.8182194,231,Random,231_RM
23.3801331,231,Random,231_RM
4.67597476,231,Random,231_RM
25.8919208,231,Random,231_RM
6.43964301,231,Random,231_RM
4.25857946,231,Random,231_RM
5.65259795,231,Random,231_RM
10.9669949,231,Random,231_RM
49.9958961,231,Random,231_RM
4.04834065,231,Random,231_RM
58.6834832,231,Random,231_RM
23.7427638,231,Random,231_RM
46.2115823,231,Random,231_RM
8.16417197,231,Random,231_RM
77.6976133,231,Random,231_RM
18.9334405,231,Random,231_RM
32.7023734,231,Random,231_RM
77.2612816,231,Random,231_RM
14.3527431,231,Random,231_RM
3.98257427,231,Random,231_RM
31.5470213,231,Random,231_RM
4.23172358,231,Random,231_RM
19.9120016,231,Random,231_RM
62.9105375,231,Random,231_RM
35.8604264,231,Random,231_RM
8.27824841,231,Random,231_RM
55.4715201,231,Random,231_RM
5.24663164,231,Random,231_RM
6.58352037,231,Random,231_RM
12.3688565,231,Random,231_RM
32.4748308,231,Random,231_RM
63.5667974,231,Random,231_RM
78.3541328,231,Random,231_RM
9.061906,231,Random,231_RM
40.8284434,231,Random,231_RM
25.6154731,231,Random,231_RM
20.466545,231,Random,231_RM
35.4627,231,Random,231_RM
72.6616478,231,Random,231_RM
65.5949044,231,Random,231_RM
62.8461139,231,Random,231_RM
55.594462,231,Random,231_RM
38.4641954,231,Random,231_RM
4.94151226,231,Random,231_RM
6.59580389,231,Random,231_RM
20.8765854,231,Random,231_RM
66.1829416,231,Random,231_RM
3.60576798,231,Random,231_RM
8.82528435,231,Random,231_RM
4.31662478,231,Random,231_RM
10.1518122,231,Random,231_RM
3.44151986,231,Random,231_RM
6.95162903,231,Random,231_RM
34.3093315,231,Random,231_RM
38.2708788,231,Random,231_RM
4.43523316,231,Random,231_RM
20.2354013,231,Random,231_RM
23.6020908,231,Random,231_RM
17.8243079,231,Random,231_RM
6.46031903,231,Random,231_RM
9.08905181,231,Random,231_RM
3.37027548,231,Random,231_RM
41.554834,231,Random,231_RM
5.19667363,231,Random,231_RM
40.6085762,231,Random,231_RM
5.54610522,231,Random,231_RM
52.7407043,231,Random,231_RM
27.5748536,231,Random,231_RM
49.4794089,231,Random,231_RM
50.4140849,231,Random,231_RM
22.7086141,231,Random,231_RM
12.8379952,231,Random,231_RM
9.40164815,231,Random,231_RM
3.76264598,231,Random,231_RM
41.1203029,231,Random,231_RM
33.9147178,231,Random,231_RM
39.1255366,231,Random,231_RM
22.287221,231,Random,231_RM
8.18423758,231,Random,231_RM
6.13000699,231,Random,231_RM
17.6522625,231,Random,231_RM
3.62883963,231,Random,231_RM
31.3003591,231,Random,231_RM
4.26553758,231,Random,231_RM
25.3530484,231,Random,231_RM
7.99829114,231,Random,231_RM
16.9181204,231,Random,231_RM
7.37611977,231,Random,231_RM
35.9561614,231,Random,231_RM
