Orientation,Image,Scale_Bar ,Fiber,Value
Aligned,4_551,0.109878035,6.75,0.741676739
Aligned,4_551,0.109878035,3.54,0.388968245
Aligned,4_551,0.109878035,4.81,0.52851335
Aligned,4_551,0.109878035,3.66,0.402153609
Aligned,4_551,0.109878035,3.35,0.368091419
Aligned,4_448,0.142857143,5.66,0.808571429
Aligned,4_448,0.142857143,3.61,0.515714286
Aligned,4_448,0.142857143,3.22,0.46
Aligned,4_448,0.142857143,2.66,0.38
Aligned,4_448,0.142857143,4.14,0.591428571
Aligned,4_447,0.142857143,3.84,0.548571429
Aligned,4_447,0.142857143,3.47,0.495714286
Aligned,4_447,0.142857143,4.14,0.591428571
Aligned,4_447,0.142857143,3.75,0.535714286
Aligned,4_447,0.142857143,3.55,0.507142857
Aligned,4_246,0.142857143,4.55,0.65
Aligned,4_246,0.142857143,2.84,0.405714286
Aligned,4_246,0.142857143,2.61,0.372857143
Aligned,4_246,0.142857143,3.89,0.555714286
Aligned,4_246,0.142857143,3.33,0.475714286
Aligned,4_143,0.122699387,6.9,0.846625767
Aligned,4_143,0.122699387,3.13,0.38404908
Aligned,4_143,0.122699387,2.6,0.319018405
Aligned,4_143,0.122699387,3.88,0.47607362
Aligned,4_143,0.122699387,3.43,0.420858896
Aligned,4_4_150,0.108695652,3.95,0.429347826
Aligned,4_4_150,0.108695652,4.13,0.448913043
Aligned,4_4_150,0.108695652,4.67,0.507608696
Aligned,4_4_150,0.108695652,3.25,0.35326087
Aligned,4_4_150,0.108695652,6.02,0.654347826
Aligned,3_642,0.12195122,3.59,0.437804878
Aligned,3_642,0.12195122,3.63,0.442682927
Aligned,3_642,0.12195122,3.1,0.37804878
Aligned,3_642,0.12195122,3.95,0.481707317
Aligned,3_642,0.12195122,3.27,0.398780488
Aligned,3_539,0.142095915,2.89,0.410657194
Aligned,3_539,0.142095915,3.19,0.453285968
Aligned,3_539,0.142095915,3.25,0.461811723
Aligned,3_539,0.142095915,2,0.284191829
Aligned,3_539,0.142095915,4.76,0.676376554
Aligned,3_437,0.136518771,4.27,0.582935154
Aligned,3_437,0.136518771,3,0.409556314
Aligned,3_437,0.136518771,2.39,0.326279863
Aligned,3_437,0.136518771,2.23,0.30443686
Aligned,3_437,0.136518771,3.1,0.423208191
Aligned,3_233,0.101522843,3.06,0.310659898
Aligned,3_233,0.101522843,5.14,0.521827411
Aligned,3_233,0.101522843,4,0.406091371
Aligned,3_233,0.101522843,3.98,0.404060914
Aligned,3_233,0.101522843,3.09,0.313705584
Aligned,3_131,0.144404332,1.68,0.242599278
Aligned,3_131,0.144404332,3.77,0.544404332
Aligned,3_131,0.144404332,3.06,0.441877256
Aligned,3_131,0.144404332,1.82,0.262815884
Aligned,3_131,0.144404332,2.3,0.332129964
Random,2_530,0.144927536,3.17,0.45942029
Random,2_530,0.144927536,1.94,0.28115942
Random,2_530,0.144927536,5.13,0.743478261
Random,2_530,0.144927536,4.13,0.598550725
Random,2_530,0.144927536,3.77,0.546376812
Random,2_529,0.170940171,3.13,0.535042735
Random,2_529,0.170940171,5.13,0.876923077
Random,2_529,0.170940171,5.26,0.899145299
Random,2_529,0.170940171,2.93,0.500854701
Random,2_529,0.170940171,2.42,0.413675214
Random,2_427,0.106723586,8.57,0.914621131
Random,2_427,0.106723586,3.67,0.39167556
Random,2_427,0.106723586,5.04,0.537886873
Random,2_427,0.106723586,3.18,0.339381003
Random,2_427,0.106723586,4.12,0.439701174
Random,2_326,0.106190931,9.08,0.964213656
Random,2_326,0.106190931,3.5,0.37166826
Random,2_326,0.106190931,4.01,0.425825634
Random,2_326,0.106190931,4.18,0.443878093
Random,2_326,0.106190931,5.91,0.627588404
Random,2_122,0.093896714,4.65,0.436619718
Random,2_122,0.093896714,4.26,0.4
Random,2_122,0.093896714,5.31,0.498591549
Random,2_122,0.093896714,4.75,0.44600939
Random,2_122,0.093896714,9,0.845070423
Random,2_120,0.070671378,9,0.845070423
Random,2_120,0.070671378,11.91,1.118309859
Random,2_120,0.070671378,4.61,0.43286385
Random,2_120,0.070671378,5.67,0.532394366
Random,2_120,0.070671378,6.58,0.617840376
Random,1_619,0.070175439,8.34,0.585263158
Random,1_619,0.070175439,5.9,0.414035088
Random,1_619,0.070175439,6.49,0.455438596
Random,1_619,0.070175439,5.2,0.364912281
Random,1_619,0.070175439,6.15,0.431578947
Random,1_618,0.070921986,8.39,0.595035461
Random,1_618,0.070921986,5.17,0.366666667
Random,1_618,0.070921986,13.85,0.982269504
Random,1_618,0.070921986,6.04,0.428368794
Random,1_618,0.070921986,4.86,0.344680851
Random,1_414,0.051059484,6.96,0.355374011
Random,1_414,0.051059484,8.88,0.453408221
Random,1_414,0.051059484,6.19,0.316058208
Random,1_414,0.051059484,5.34,0.272657646
Random,1_414,0.051059484,7.73,0.394689814
Random,1_109,0.072727273,10.66,0.775272727
Random,1_109,0.072727273,8.96,0.651636364
Random,1_109,0.072727273,4.65,0.338181818
Random,1_109,0.072727273,5.71,0.415272727
Random,1_109,0.072727273,7.22,0.525090909
Random,1_108,0.074766355,11.92,0.891214953
Random,1_108,0.074766355,7.25,0.542056075
Random,1_108,0.074766355,6.8,0.508411215
Random,1_108,0.074766355,8.14,0.608598131
Random,1_108,0.074766355,5.3,0.396261682
