Type,Value ,Cell,Gene,Alignment 
10A_A_LDHA,1.825587648,MCF-10A,LDHA,Aligned 
10A_A_LDHA,1.116030147,MCF-10A,LDHA,Aligned 
10A_A_LDHA,6.413343978,MCF-10A,LDHA,Aligned 
10A_R_LDHA,1.137,MCF-10A,LDHA,Random
10A_R_LDHA,1.078,MCF-10A,LDHA,Random
10A_R_LDHA,0.819,MCF-10A,LDHA,Random
10A_A_Vim,1.952999715,MCF-10A,Vimentin,Aligned 
10A_A_Vim,2.798193202,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.57407151,MCF-10A,Vimentin,Aligned 
10A_R_Vim,1.378576802,MCF-10A,Vimentin,Random
10A_R_Vim,0.308023212,MCF-10A,Vimentin,Random
10A_R_Vim,2.358148699,MCF-10A,Vimentin,Random
10A_A_Ecad,1.1980226,MCF-10A,E-Cadherin,Aligned 
10A_A_Ecad,2.824684801,MCF-10A,E-Cadherin,Aligned 
10A_A_Ecad,10.94965196,MCF-10A,E-Cadherin,Aligned 
10A_R_Ecad,1.500038395,MCF-10A,E-Cadherin,Random
10A_R_Ecad,1.163370074,MCF-10A,E-Cadherin,Random
10A_R_Ecad,0.604926795,MCF-10A,E-Cadherin,Random
231_R_LDHA,1.12924618,MDA-MB-231,LDHA,Random
231_R_LDHA,1.10363995,MDA-MB-231,LDHA,Random
231_R_LDHA,0.806812901,MDA-MB-231,LDHA,Random
231_A_LDHA,0.766960607,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,2.589308993,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,0.604512236,MDA-MB-231,LDHA,Aligned 
231_R_Vim,1.070319786,MDA-MB-231,Vimentin,Random
231_R_Vim,0.938091093,MDA-MB-231,Vimentin,Random
231_R_Vim,0.908601135,MDA-MB-231,Vimentin,Random
231_A_Vim,0.884623101,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,4.224964411,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,1.070319786,MDA-MB-231,Vimentin,Aligned 
231_R_Ecad,1.058359268,MDA-MB-231,E-Cadherin,Random
231_R_Ecad,1.150117808,MDA-MB-231,E-Cadherin,Random
231_R_Ecad,0.530842701,MDA-MB-231,E-Cadherin,Random
231_A_Ecad,3.277896595,MDA-MB-231,E-Cadherin,Aligned 
231_A_Ecad,2.889783458,MDA-MB-231,E-Cadherin,Aligned 
231_A_Ecad,0.48208337,MDA-MB-231,E-Cadherin,Aligned 
